Book, Author, Type, Subject
Introduction to Electrodynamics, David J. Griffiths, Textbook, Physics
C++ Primer (5e), "Barbara E. Moo, Josee Lajoie, Stanley B. Lippman", Textbook, Programming
"Fumblerules: A Lighthearted Guide to Grammar and Good Usage", William Safire, Nonfiction, Manual on English usage
Homo Deus, Yuval Noah Harari, Nonfiction,
Lord of the Flies, William Golding, Fiction, Literary novel
Catch-22, Joseph Heller, Fiction, Satirical novel
Anna Karenina, Leo Tolstoy, Fiction, Literary novel
The Elements of Style, William Strunk Jr., Nonfiction, Manual on English writing
The Adventures of Sherlock Holmes, Arthur Conan Doyle, Fiction, Short story collection
The Old Man and the Sea, Ernest Hemingway, Fiction, Literary novel
The Return of Sherlock Holmes, Arthur Conan Doyle, Fiction, Short story collection
Slaughterhouse-Five, Kurt Vonnegut, Fiction, Satirical novel
A Portrait of the Artist as a Young Man, James Joyce, Fiction, Literary novel
The Stranger, Albert Camus, Fiction, Philosophical novel
David Copperfield, Charles Dickens, Fiction, Literary novel
The Brothers Karamazov, Fyodor Dostoevsky, Fiction, Philosophical novel
Linux Pocket Guide, Daniel Barrett, Nonfiction, Technical manual
