Book, Author, Type, Subject
The Brothers Karamazov, Fyodor Dostoevsky, Fiction, Philosophical novel
Anna Karenina, Leo Tolstoy, Fiction, Literary novel
Catch-22, Joseph Heller, Fiction, Satirical novel
The Stranger, Albert Camus, Fiction, Philosophical novel
The Old Man and the Sea, Ernest Hemingway, Fiction, Literary novel
Slaughterhouse-Five, Kurt Vonnegut, Fiction, Satirical novel
David Copperfield, Charles Dickens, Fiction, Literary novel
Lord of the Flies, William Golding, Fiction, Literary novel
A Portrait of the Artist as a Young Man, James Joyce, Fiction, Literary novel
Introduction to Electrodynamics, David J. Griffiths, Textbook, Physics
The Adventures of Sherlock Holmes, Arthur Conan Doyle, Fiction, Short story collection
The Return of Sherlock Holmes, Arthur Conan Doyle, Fiction, Short story collection
C++ Primer (5e), "Barbara E. Moo, Josee Lajoie, Stanley B. Lippman", Textbook, Programming
Linux Pocket Guide, Daniel Barrett, Nonfiction, Technical manual
The Elements of Style, William Strunk Jr., Nonfiction, Manual
"Fumblerules: A Lighthearted Guide to Grammar and Good Usage", William Safire, Nonfiction, Manual
Homo Deus, Yuval Noah Harari, Nonfiction, General
