Status, Name, Type, Progress, Pace, Length
Current, Monster, anime TV Series, 43/74, binge, 
Current, Rurouni Kenshin: Meiji Kenkaku Romantan, anime TV series, 3/94, slow, 
Upcoming, War and Peace, fiction book, ,TBD, 560k words
Upcoming, The Idiot, fiction book, ,TBD, 200k words
Planned, Demons (The Possessed), fiction book, ,TBD, 220k words
, Pride and Prejudice, fiction book, , , 122k words
, One Hundred Years of Solitude, fiction book, , , 144k words
, Brave New World, fiction book, , , 66k words
, Les Miserables, fiction book, , , 550k words
, Moby-Dick, fiction book, , , 210k words
, To the Lighthouse, fiction book, , , 57k words
, Frankenstein, fiction book, , , 76k words
, Great Expectations, fiction book, , , 187k words
, Middlemarch, fiction book, , , 
, Fahrenheit 451,fiction book , , 46k words
, Mrs. Dalloway,fiction book , , 63k words
, The Sun Also Rises,fiction book , , 67k words
, The Adventures of Tom Sawyer, fiction book, , 69k words
, The Picture of Dorian Gray, fiction book, , 78k words
, Persuasion, fiction book, , , 87k words
