Rank, Book, Author, Language, Year
1, The Brothers Karamazov, Fyodor Dostoevsky, Russian, 1880
2, Anna Karenina, Leo Tolstoy, Russian, 1878
3, Catch-22, Joseph Heller, English, 1961
4, The Great Gatsby, F. Scott Fitzgerald, English, 1925
5, The Portrait of the Artist as a Young Man, James Joyce, English, 1916
6, Nineteen Eighty-Four, George Orwell, English, 1949
7, The Catcher in the Rye, J. D. Salinger, English, 1951
8, Adventures of Huckleberry Finn, Mark Twain, English, 1884
9, Lord of the Flies, William Golding, English, 1954
10, The Stranger, Albert Camus, French, 1942
11, Slaughterhouse-Five, Kurt Vonnegut, English, 1969
12, The Old Man and the Sea, Ernest Hemingway, English, 1952
13, To Kill a Mockingbird, Harper Lee, English, 1960
14, David Copperfield, Charles Dickens, English, 1850
15, Jane Eyre, Charlotte Brontë, English, 1847 
16, Animal Farm, George Orwell, English, 1945
17, The Lord of the Rings, J. R. R. Tolkien, English, 1954
18, The Adventures of Sherlock Holmes, Arthur Conan Doyle, English, 1892
19, Alice's Adventures in Wonderland, Lewis Caroll, English, 1865
20, Anthem, Ayn Rand, English, 1938
21, The Godfather, Mario Puzo, English, 1969
22, A Christmas Carol, Charles Dickens, English, 1943
23, Love Story, Eric Segal, 1970
24, The Hobbit, J. R. R. Tolkien, English, 1937

